rank,name,record_type,ecosystem_segment,priority_tier,relationship_stage,strategic_fit,current_hook,likely_ask,best_first_channel,warm_path_needed,first_move,risk_note,website,contact_url,public_email,linkedin_url,x_url,bluesky_url,mastodon_url,instagram_url,threads_url,tiktok_url,youtube_url,podcast_url,newsletter_url,substack_url,github_url,discord_or_community_url,event_url,booking_or_speaker_url,source_urls,data_confidence,verification_status,notes
1,Kyla Scanlon,Person,Cultural Translators / Gen Z economics,Tier 1,Research,Gen Z economic translator,Financial nihilism and trust collapse,Ask for conversation or essay consideration,Website/newsletter route or warm intro; social only after a polished essay hook exists,Yes,Prepare a 1-page financial-nihilism-to-trust-mediated-exchange brief,Do not pitch monetary reform; pitch a younger-language trust and coordination frame,https://www.kylascanlon.com/,https://www.kylascanlon.com/,,https://www.linkedin.com/in/kyla-scanlon/,https://x.com/kylascan,,,https://www.instagram.com/kylascan/,,https://www.tiktok.com/@kylascan,https://www.youtube.com/@KylaScanlon,,https://kylascanlon.com/,,,,,,https://www.kylascanlon.com/ | https://linktr.ee/kylascan222,High for official website; social handles should be verified immediately before use,Verified public routes listed; re-check before outreach,Frame as financial nihilism needs alternatives
2,Hank Green / Complexly,Person/org,Universe Tier / Mass education,Tier 1,Research,Mass educational translator,Trust and exchange explainer,Ask for educational exploration,Complexly contact or warm media/education introduction,,Do not pitch until a Crash Course-style explainer outline is exceptional,"Very high visibility; needs public-interest education framing, not book promotion",https://complexly.org/,https://complexly.org/contact,,https://www.linkedin.com/company/complexly/,https://x.com/hankgreen,,,https://www.instagram.com/hankgreen/,,https://www.tiktok.com/@hankgreen1,https://www.youtube.com/@vlogbrothers,,https://complexly.org/,,,,,,https://complexly.org/ | https://hankgreen.com/ | https://www.linkedin.com/company/complexly,High for organization routes; personal socials public but should be verified,Verified public routes listed; re-check before outreach,Moonshot
3,Kevin Owocki,Person,Cultural Translators / ReFi and public goods,Tier 1,Research,ReFi and public goods bridge,Greenpill and regenerative coordination,Ask for Greenpill podcast or essay,Greenpill/official site or warm ReFi/public-goods intro,Yes,Pitch a Greco-as-pre-crypto-public-goods-exchange-theorist conversation,Avoid sounding anti-crypto; distinguish anti-speculation from pro-coordination,https://owocki.com/,https://owocki.com/,,https://www.linkedin.com/in/kevinowocki/,https://x.com/owocki,,,,,,https://www.youtube.com/@greenpillnetwork,https://greenpill.network/podcast,https://greenpill.network/,,,,,,https://owocki.com/ | https://greenpill.network/,High,Verified public routes listed; re-check before outreach,Strongest builder-market fit
4,Greenpill Network,Org/podcast,ReFi / public goods,Tier 1,Research,Regenerative crypto and community coordination.,,"Podcast, newsletter, chapter discussion.",Podcast/community route,Yes,Offer Chapter 21 as a dialogue on post-speculative regenerative exchange,,https://greenpill.network/,https://greenpill.network/,,,https://x.com/greenpillnet,,,,,,https://www.youtube.com/@greenpillnetwork,https://greenpill.network/podcast,,,,https://greenpill.network/,,,https://greenpill.network/,Medium-high; verify current community links before use,Verified public routes listed; re-check before outreach,
5,Funding the Commons,Event/org,Public goods funding,Tier 1,Research,Public goods coordination infrastructure,Coordination layer and governance systems,Ask for talk or essay placement,Event/program contact or warm public-goods introduction,,"Develop a panel/session pitch around funding, exchange, and trust-mediated contribution",Need crisp relevance,https://www.fundingthecommons.io/,https://www.fundingthecommons.io/,,https://www.linkedin.com/company/funding-the-commons,https://x.com/FundingCommons,,,,,,https://www.youtube.com/@FundingTheCommons,,,,,,https://www.fundingthecommons.io/,,https://www.fundingthecommons.io/ | https://www.linkedin.com/company/funding-the-commons,High for site and LinkedIn; social handles should be verified,Verified public routes listed; re-check before outreach,Institutional bridge
6,Gitcoin,Org,Public goods funding,Tier 1,Research,Public goods funding infrastructure.,,Blog/podcast conversation.,Warm path through Greenpill/public-goods network,Yes,Use Gitcoin as category proof before direct ask,Do not cold pitch as a book audience; use a mechanism-design bridge,https://www.gitcoin.co/,https://support.gitcoin.co/,,https://www.linkedin.com/company/gitcoin/,https://x.com/gitcoin,,,,,,,,,,https://github.com/gitcoinco,https://www.gitcoin.co/,,,https://www.gitcoin.co/ | https://github.com/gitcoinco,Medium-high,Verified public routes listed; re-check before outreach,
7,ReFi DAO,Org,Regenerative finance,Tier 1,Research,Regenerative finance network society.,,Community seminar.,Community/session route,Yes,Pitch a ReFi reading seminar on Greco and regenerative exchange,,https://refidao.com/,https://refidao.com/,,https://www.linkedin.com/company/refidao/,https://x.com/refidaoist,,,,,,,,,,,https://refidao.com/,,,https://refidao.com/about,Medium-high,Verified public routes listed; re-check before outreach,
8,Cory Doctorow / Pluralistic,Person/newsletter,Digital rights / anti-extraction,Tier 1,Research,Anti-extraction platform critic.,,Review or link post.,Pluralistic-compatible essay/link route; warm intro preferred,Yes,Write the essay first: 'Money systems enshittify too',High bar for relevance and rigor; send only if the essay earns the ask,https://pluralistic.net/,https://craphound.com/contact/,,,https://x.com/doctorow,,https://mamot.fr/@pluralistic,,,,,,https://pluralistic.net/plura-list/,https://pluralistic.net/plura-list/,,,,,https://pluralistic.net/ | https://craphound.com/contact/,Medium-high,Verified public routes listed; re-check before outreach,
9,Molly White,Person/newsletter,Crypto skepticism / trust,Tier 1,Research,Crypto skeptic credibility,Post-crypto non-scam exchange,Ask for critique not endorsement,"Email only with critique-oriented ask; ask for falsification, not endorsement",Yes,"Prepare 'after crypto, what still needs solving?' brief",Avoid any blockchain-coded language unless distinguishing from speculation/scams,https://www.mollywhite.net/,https://www.mollywhite.net/contact/,molly@mollywhite.net,https://www.linkedin.com/in/mollyawhite/,https://x.com/molly0xfff,https://bsky.app/profile/molly.wiki,https://hachyderm.io/@molly0xfff,https://www.instagram.com/molly0xfff/,https://www.threads.net/@molly0xfff,https://www.tiktok.com/@molly0xfff,https://www.youtube.com/@molly0xfff,,https://www.citationneeded.news/,,,,,,https://www.mollywhite.net/contact/ | https://www.mollywhite.net/social/,High,Verified public routes listed; re-check before outreach,Good falsification target
10,Paris Marx / Tech Won't Save Us,Podcast/person,Tech critique / platform politics,Tier 1,Research,Tech critique and governance-first audience.,,Interview.,Podcast pitch through show route,Yes,Frame as governance before tech: exchange systems are not saved by software alone,"Needs anti-solutionist framing, not techno-optimist category language",https://www.techwontsave.us/,https://www.techwontsave.us/,,,https://x.com/parismarx,,,,,,,https://www.techwontsave.us/,https://www.techwontsave.us/,,,,,,https://www.techwontsave.us/ | https://www.patreon.com/techwontsaveus/about,Medium,Verified public routes listed; re-check before outreach,
