Name,Type,Organization,Ecosystem Segment,Role/Relevance,Website,Email/Contact URL,LinkedIn,X/Twitter,YouTube/Podcast,Newsletter/Substack,Estimated Reach,Reach Source,Recent Activity,Potential Ask,Outreach Angle,Priority Score,Notes,Source URLs
"Thomas H. Greco Jr.","Person","Beyond Money","Monetary reform","Author and central authority on moneyless exchange, community currencies, credit clearing, and monetary theory","https://beyondmoney.net/","https://beyondmoney.net/contact/","","","","https://beyondmoney.net/","Specialist authority; public follower count not verified","https://beyondmoney.net/about/","Active site with recent revised-edition material","Anchor author platform","Position Greco as a long-time authority whose subject has become newly mainstream","5","Use as author-platform proof, not as primary market-size proof","https://beyondmoney.net/about/ | https://beyondmoney.net/the-end-of-money-and-the-future-of-civilization/"
"Schumacher Center for a New Economics","Organization","Schumacher Center","Local currencies / regenerative economics","Long-running new economics institution connected to BerkShares and local currency education","https://centerforneweconomics.org/","https://centerforneweconomics.org/contact/","","","","https://centerforneweconomics.org/share/","Institutional audience; exact list size not public in scan","https://centerforneweconomics.org/share/","Active events/newsletter presence","Webinar, review, excerpt, partner event","Greco as the monetary infrastructure layer of local economies","5","High-confidence publisher-facing target","https://centerforneweconomics.org/apply/local-currencies-program/ | https://centerforneweconomics.org/share/"
"BerkShares","Organization","BerkShares / Schumacher ecosystem","Local currencies","Recognizable US local currency example and practical channel","https://berkshares.org/","","","","","","Local currency practitioner audience; exact reach not verified","https://centerforneweconomics.org/apply/local-currencies-program/","Referenced by Schumacher Center local currency program","Local launch event or case-study bridge","BerkShares as living proof that local money remains legible","4","Use with Schumacher Center rather than standalone first contact","https://centerforneweconomics.org/apply/local-currencies-program/"
"P2P Foundation","Organization","P2P Foundation","Commons / P2P","Commons and peer-production knowledge network founded around Michel Bauwens's work","https://p2pfoundation.net/","https://p2pfoundation.net/contact/","","","","","Global commons knowledge network; exact reach not verified","https://p2pfoundation.net/home-page/the-p2p-foundations-web-ecosystem","Active web ecosystem","Review, repost, interview","Credit commons as peer-governed exchange infrastructure","5","Strong intellectual-network fit","https://p2pfoundation.net/home-page/the-p2p-foundations-web-ecosystem | https://p2pfoundation.net/the-p2p-foundation/who-we-are"
"Michel Bauwens","Person","P2P Foundation","Commons / P2P","Founder and vision coordinator associated with commons, peer production, governance, and post-capitalist theory","https://p2pfoundation.net/","","","","","","Public thinker; exact current social reach not verified","https://p2pfoundation.net/the-p2p-foundation/who-we-are","P2P Foundation pages active","Review or dialogue","Greco's credit commons arguments as part of commons governance","5","Priority for intellectual legitimacy","https://p2pfoundation.net/the-p2p-foundation/who-we-are"
"International Reciprocal Trade Association","Organization","IRTA","Mutual credit / barter","Trade association for barter, reciprocal trade, alternative capital systems, standards, advocacy, and certification","https://irta.com/","https://irta.com/contact/","","","","","Industry association; Credit Commons cites 400,000 businesses and $14B trade in 2019 as barter-industry evidence","https://creditcommonssociety.org/mutual-credit/","Official site recently crawled; active membership pages","Industry review, conference, Chapter 21 circulation","Greco gives theoretical legitimacy to reciprocal trade","5","Best practitioner validation target","https://irta.com/ | https://creditcommonssociety.org/mutual-credit/"
"Credit Commons Society","Organization","Credit Commons Society","Mutual credit / commons","Promotes Credit Commons Protocol between mutual credit, local business networks, lending circles, and community currencies","https://creditcommonssociety.org/","https://creditcommonssociety.org/contact/","","","","","Specialist practitioner network; exact reach not verified","https://creditcommonssociety.org/","Active website","Technical/practitioner review","Greco's work as foundation for interoperable mutual credit","5","High-confidence Chapter 21 review target","https://creditcommonssociety.org/ | https://creditcommonssociety.org/mutual-credit/"
"Mutual Credit Services","Organization","Mutual Credit Services","Mutual credit","Provides open-source software, training, and support for mutual credit implementation","https://www.mutualcredit.services/","https://www.mutualcredit.services/about","","","","","Practitioner/service network; exact reach not verified","https://www.mutualcredit.services/about","Active website","Webinar, practitioner endorsement","Mutual credit without ideology: business and community liquidity","5","Good fit for practical credibility","https://www.mutualcredit.services/ | https://www.mutualcredit.services/about"
"Post Carbon Institute","Organization","Post Carbon Institute / Resilience.org","Post-growth / energy economics","Resilience and energy-transition nonprofit with daily article site and podcasts","https://www.postcarbon.org/","https://www.postcarbon.org/contact/","","","https://www.resilience.org/podcasts/","https://www.postcarbon.org/about-us/faqs/","Resilience media audience; exact subscriber count not verified","https://www.postcarbon.org/","Active articles and podcasts","Essay excerpt or podcast","Money and credit after fossil-fueled growth","5","Strong bridge beyond monetary reform","https://www.postcarbon.org/ | https://www.resilience.org/podcasts/"
"Resilience.org","Organization","Post Carbon Institute","Post-growth / resilience","Article and podcast platform for resilience, climate, overshoot, economy, and community response","https://www.resilience.org/","https://www.resilience.org/contact/","","","https://www.resilience.org/podcasts/","","Active media platform; exact reach not verified","https://www.resilience.org/podcasts/","Active podcast page","Book excerpt or author interview","Money reform as resilience infrastructure","5","Likely travel channel for a sophisticated excerpt","https://www.resilience.org/podcasts/"
