Name,Type,Category,Priority Tier,Relationship Stage,Strategic Fit,Current Hook,Last Contact,Next Best Action,Risk,Suggested Ask,Notes
Jeevan Sivasubramaniam,Person,Publishers,Tier 1,Research,Publisher pathway and category confidence,Publisher needs evidence that the book can travel,,Prepare conservative category brief before direct outreach,Do not overstate new category as established,Ask for feedback on category positioning,"Lead with publisher confidence, not movement hype"
Berrett-Koehler team,Organization,Publishers,Tier 1,Research,Potential publisher and internal champion network,Positive change and systems-change fit,,Map BK-facing category strategy,Need clear shelf language,Ask for acquisitions review,"Pair Regenerative Coordination Economy with established shelves"
Susan Witt,Person,Schumacher,Tier 1,Research,Schumacher continuity and local currency lineage,Greco as living lineage,,Prepare continuity-first note,Relationship-first; avoid extractive ask,Ask for guidance rather than endorsement,"Stewardship over promotion"
Peter LaRochelle,Person,Schumacher,Tier 1,Research,Schumacher continuity and educational integration,Local currency and new economics overlap,,Prepare relationship brief,Do not rush,Ask for conversation about continuity,"Position as honoring Greco's work"
Tim Morgan,Person,Review Circle,Tier 1,Research,Energy economics and money as claim,Chapter 21 real-value claims,,Prepare intellectual overlap brief,May resist broad category language,Ask for review/commentary on claims and energy framing,"Good reviewer for money-as-claim argument"
Michel Bauwens,Person,Review Circle,Tier 1,Research,Commons and peer production,Trust-mediated exchange and commons governance,,Prepare commons-focused note,Do not flatten Greco into P2P,Ask for review or dialogue,"Strong bridge to P2P Foundation"
Catherine Austin Fitts,Person,Review Circle,Tier 2,Research,Financial sovereignty audience,CBDC/debanking/trust frame,,Prepare sober sovereignty framing,Polarization risk,Ask for interview or review only after fit check,"Avoid ideological framing"
IRTA leadership,Organization,Review Circle,Tier 1,Research,Reciprocal trade practitioner legitimacy,Chapter 21 exchange and claims,,Prepare practitioner brief,Industry-specific language matters,Ask for Chapter 21 circulation/review,"Direct implementation audience"
Credit Commons Society,Organization,Review Circle,Tier 1,Research,Mutual credit implementation bridge,Credit Commons and trust-mediated exchange,,Prepare technical-practitioner note,Need accuracy on protocol details,Ask for review of framework,"High fit"
Kyla Scanlon,Person,Cultural Translators,Tier 1,Research,Gen Z economic translator,Financial nihilism and trust collapse,,Prepare short essay hook,Do not pitch monetary reform,Ask for conversation or essay consideration,"Frame as financial nihilism needs alternatives"
Kevin Owocki,Person,Cultural Translators,Tier 1,Research,ReFi and public goods bridge,Greenpill and regenerative coordination,,Prepare ReFi bridge note,Do not sound anti-crypto broadly,Ask for Greenpill podcast or essay,"Strongest builder-market fit"
Funding the Commons,Organization,Cultural Translators,Tier 1,Research,Public goods coordination infrastructure,Coordination layer and governance systems,,Prepare panel/session pitch,Need crisp relevance,Ask for talk or essay placement,"Institutional bridge"
Nathan Schneider,Person,Cultural Translators,Tier 1,Research,Platform cooperativism and governable spaces,Community governance and exchange,,Prepare governable exchange note,Academic precision needed,Ask for dialogue/review,"Excellent trust/governance bridge"
Cory Doctorow,Person,Cultural Translators,Tier 1,Research,Anti-extraction platform critique,Money systems enshittify too,,Prepare Pluralistic-style hook,High bar for relevance,Ask for link/review if essay is excellent,"Needs a sharp essay"
Molly White,Person,Cultural Translators,Tier 1,Research,Crypto skeptic credibility,Post-crypto non-scam exchange,,Prepare after-crypto brief,May reject any blockchain-adjacent framing,Ask for critique not endorsement,"Good falsification target"
Paris Marx,Person,Cultural Translators,Tier 2,Research,Tech critique and governance-first audience,Technology alone cannot solve exchange,,Prepare Tech Won't Save Us pitch,Ideological framing risk,Ask for interview or guest pitch,"Chapter 21 stewardship frame fits"
Hank Green / Complexly,Person/Org,Universe Tier,Tier 1,Research,Mass educational translator,Trust and exchange explainer,,Do not contact until essay/explainer is polished,High visibility; needs exceptional clarity,Ask for educational exploration,"Moonshot"
Lex Fridman,Person,Universe Tier,Tier 1,Research,AI/civilization long-form audience,Money trust AI and civilization,,Develop long-form thesis first,Too broad without strong narrative,Ask for interview only through warm path,"Moonshot"
Marques Brownlee / MKBHD,Person,Universe Tier,Tier 2,Research,Mainstream tech trust,Trust as technology layer,,Find tech-specific entry point,May be too consumer-tech focused,Ask for no action until stronger hook,"Moonshot"
Kurzgesagt,Organization,Universe Tier,Tier 2,Research,Visual civilization explainer,Money as trust system,,Create visual explainer outline,Very high bar,Pitch only after category is mature,"Moonshot"
Colin and Samir,Organization,Universe Tier,Tier 1,Research,Creator economy translators,Audience ownership and value-flow ownership,,Prepare creator-economy brief,Needs creator-specific language,Ask for creator economy interview angle,"Strong universe bridge"
Vitalik Buterin,Person,Universe Tier,Tier 1,Warm Path Needed,Public goods and mechanism design,Redeemable claims beyond token speculation,,Find indirect warm path,Do not cold pitch,Ask for conceptual comment if routed,"High leverage but sensitive"
Jay Clouse,Person,Cultural Translators,Tier 2,Research,Creator operators and trust/income,Community businesses need exchange,,Prepare Creator Science pitch,Needs practical creator value,Ask for newsletter/podcast angle,"Strong practical bridge"
Li Jin,Person,Cultural Translators,Tier 2,Research,Passion economy category creator,Creator economy missing exchange layer,,Prepare category note,Need sharp investor/category framing,Ask for feedback on category,"Category-minded"
Greg Isenberg,Person,Cultural Translators,Tier 2,Research,Community businesses and AI startups,Community without exchange is fragile,,Prepare concise builder memo,Can skew tactical/startup,Ask for reaction to meme/framework,"Good for velocity"
